Series Name	Series Code	Country Name	Country Code	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Belgium	BEL	90.1493022	90.2592436	90.369185	90.48243	90.595675	90.70892	90.822165	90.93541	91.0624592	91.1895084	91.3165576	91.4436068	91.570656	91.6810834
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Austria	AUT	91.2816658	91.4613864	91.641107	91.7274724	91.8138378	91.9002032	91.9865686	92.072934	92.1627908	92.2526476	92.3425044	92.4323612	92.522218	92.6650272
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Spain	ESP	93.030097	93.160488	93.290879	93.3821442	93.4734094	93.5646746	93.6559398	93.747205	93.863064	93.978923	94.094782	94.210641	94.3265	94.4255138
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Sweden	SWE	91.7535182	91.8974566	92.041395	92.1963108	92.3512266	92.5061424	92.6610582	92.815974	92.9171054	93.0182368	93.1193682	93.2204996	93.321631	93.4221178
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Switzerland	CHE	92.2805442	92.4419856	92.603427	92.7610566	92.9186862	93.0763158	93.2339454	93.391575	93.5048256	93.6180762	93.7313268	93.8445774	93.957828	94.0561438
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	United Kingdom	GBR	84.2773088	84.5899124	84.902516	85.2317318	85.5609476	85.8901634	86.2193792	86.548595	86.6324312	86.7162674	86.8001036	86.8839398	86.967776	87.1876336
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	United States	USA	79.4108596	79.6358658	79.860872	80.0166002	80.1723284	80.3280566	80.4837848	80.639513	80.4498074	80.2601018	80.0703962	79.8806906	79.690985	79.8041226
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Russian Federation	RUS	44.911252	46.023527	47.135802	48.8462998	50.5567976	52.2672954	53.9777932	55.688291	56.635997	57.583703	58.531409	59.479115	60.426821	60.7597112
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Netherlands	NLD	85.9432644	86.3928262	86.842388	87.2094336	87.5764792	87.9435248	88.3105704	88.677616	88.7264534	88.7752908	88.8241282	88.8729656	88.921803	89.1248102
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Italy	ITA	86.2803056	86.6658778	87.05145	87.3392128	87.6269756	87.9147384	88.2025012	88.490264	88.7682344	89.0462048	89.3241752	89.6021456	89.880116	90.0706176
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Japan	JPN	86.0193084	86.2467562	86.474204	86.7437428	87.0132816	87.2828204	87.5523592	87.821898	88.077893	88.333888	88.589883	88.845878	89.101873	89.2350102
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Hungary	HUN	64.726692	65.17694	65.627188	66.5517132	67.4762384	68.4007636	69.3252888	70.249814	70.8390166	71.4282192	72.0174218	72.6066244	73.195827	73.5097468
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Germany	DEU	82.7313404	83.0825802	83.43382	83.6721208	83.9104216	84.1487224	84.3870232	84.625324	84.7284688	84.8316136	84.9347584	85.0379032	85.141048	85.4444144
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	France	FRA	81.6216066	81.9798028	82.337999	82.6347206	82.9314422	83.2281638	83.5248854	83.821607	84.0354452	84.2492834	84.4631216	84.6769598	84.890798	85.101314
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Finland	FIN	80.5478824	80.7502852	80.952688	81.5169234	82.0811588	82.6453942	83.2096296	83.773865	84.0331534	84.2924418	84.5517302	84.8110186	85.070307	85.3415178
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Denmark	DNK	82.104971	82.423447	82.741923	83.2431406	83.7443582	84.2455758	84.7467934	85.248011	85.4019946	85.5559782	85.7099618	85.8639454	86.017929	86.2387084
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Czech Republic	CZE	76.251391	76.77208	77.292769	77.8472542	78.4017394	78.9562246	79.5107098	80.065195	80.5642632	81.0633314	81.5623996	82.0614678	82.560536	82.8136206
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Canada	CAN	85.2858462	85.5547236	85.823601	86.1461852	86.4687694	86.7913536	87.1139378	87.436522	87.554987	87.673452	87.791917	87.910382	88.028847	88.2719362
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Brazil	BRA	67.6016204	68.1289182	68.656216	69.1860488	69.7158816	70.2457144	70.7755472	71.30538	71.6245066	71.9436332	72.2627598	72.5818864	72.901013	73.2415578
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Belgium	BEL	82.3692906	82.6921128	83.014935	83.359634	83.704333	84.049032	84.393731	84.73843	84.9982084	85.2579868	85.5177652	85.7775436	86.037322	86.2686036
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Austria	AUT	82.9869736	83.3107288	83.634484	83.9404668	84.2464496	84.5524324	84.8584152	85.164398	85.404899	85.6454	85.885901	86.126402	86.366903	86.5144186
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Spain	ESP	84.0038638	84.4160214	84.828179	85.2395706	85.6509622	86.0623538	86.4737454	86.885137	87.1194988	87.3538606	87.5882224	87.8225842	88.056946	88.209913
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Sweden	SWE	87.268957	87.516308	87.763659	88.0076266	88.2515942	88.4955618	88.7395294	88.983497	89.134352	89.285207	89.436062	89.586917	89.737772	89.9415954
"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	Switzerland	CHE	86.5998756	86.9797198	87.359564	87.688786	88.018008	88.34723	88.676452	89.005674	89.2521066	89.4985392	89.7449718	89.9914044	90.237837	90.4089182
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	United Kingdom	GBR	..	..	..	..	..	5.4	..	..	..	..	..	4.8	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	United States	USA	..	..	..	..	..	3.9	..	..	..	..	..	4.1	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Russian Federation	RUS	..	..	..	..	..	7.3	..	..	..	..	..	5.8	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Netherlands	NLD	..	..	..	..	..	4.5	..	..	..	..	..	3.6	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Italy	ITA	..	..	..	..	..	2.8	..	..	..	..	..	2.8	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Japan	JPN	..	..	..	..	..	2.6	..	..	..	..	..	2.9	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Hungary	HUN	..	..	..	..	..	5	..	..	..	..	..	4.5	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Germany	DEU	..	..	..	..	..	5.7	..	..	..	..	..	5.9	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	France	FRA	..	..	..	..	..	5.4	..	..	..	..	..	5.4	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Finland	FIN	..	..	..	..	..	5.5	..	..	..	..	..	4.4	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Denmark	DNK	..	..	..	..	..	4.7	..	..	..	..	..	4.5	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Czech Republic	CZE	..	..	..	..	..	6.1	..	..	..	..	..	6.2	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Canada	CAN	..	..	..	..	..	4.1	..	..	..	..	..	3.4	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Brazil	BRA	..	..	..	..	..	3	..	..	..	..	..	2.4	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Belgium	BEL	..	..	..	..	..	5	..	..	..	..	..	5.2	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Austria	AUT	..	..	..	..	..	5.4	..	..	..	..	..	5.1	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Spain	ESP	..	..	..	..	..	4.4	..	..	..	..	..	4	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Sweden	SWE	..	..	..	..	..	4	..	..	..	..	..	3.8	..	..
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"	SH.ALC.PCAP.FE.LI	Switzerland	CHE	..	..	..	..	..	5.1	..	..	..	..	..	5.1	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	United Kingdom	GBR	..	..	..	..	..	19.6	..	..	..	..	..	18.4	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	United States	USA	..	..	..	..	..	15	..	..	..	..	..	15.8	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Russian Federation	RUS	..	..	..	..	..	26.1	..	..	..	..	..	18.7	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Netherlands	NLD	..	..	..	..	..	16.4	..	..	..	..	..	13.9	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Italy	ITA	..	..	..	..	..	11.6	..	..	..	..	..	12.5	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Japan	JPN	..	..	..	..	..	12	..	..	..	..	..	13.5	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Hungary	HUN	..	..	..	..	..	20.1	..	..	..	..	..	19.1	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Germany	DEU	..	..	..	..	..	20.6	..	..	..	..	..	21.3	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	France	FRA	..	..	..	..	..	19.6	..	..	..	..	..	20.3	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Finland	FIN	..	..	..	..	..	20	..	..	..	..	..	17.2	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Denmark	DNK	..	..	..	..	..	17.2	..	..	..	..	..	16.5	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Czech Republic	CZE	..	..	..	..	..	22.4	..	..	..	..	..	23.2	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Canada	CAN	..	..	..	..	..	16.5	..	..	..	..	..	14.6	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Brazil	BRA	..	..	..	..	..	15	..	..	..	..	..	13.4	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Belgium	BEL	..	..	..	..	..	18.1	..	..	..	..	..	19.4	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Austria	AUT	..	..	..	..	..	19.1	..	..	..	..	..	18.5	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Spain	ESP	..	..	..	..	..	16.9	..	..	..	..	..	16.4	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Sweden	SWE	..	..	..	..	..	15.1	..	..	..	..	..	14.6	..	..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"	SH.ALC.PCAP.MA.LI	Switzerland	CHE	..	..	..	..	..	17.9	..	..	..	..	..	18.1	..	..
																	
																	
																	
Data from database: Health Nutrition and Population Statistics																	
Last Updated: 05/19/2020																	
